reference_date,jurisdiction_id,most_serious_charge_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_jurisdiction,raw_most_serious_charge
2021-06-30,ACT,ANZSOC_08,prisoner-count,person,3,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R33C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,08 Theft and related offences
2021-06-30,ACT,ANZSOC_081,prisoner-count,person,3,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R34C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,081 Motor vehicle theft and related offences
2021-06-30,ACT,ANZSOC_082,prisoner-count,person,3,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R35C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,082 Theft (except motor vehicles)
2021-06-30,ACT,ANZSOC_083,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R36C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,083 Receive or handle proceeds of crime
2021-06-30,ACT,ANZSOC_09,prisoner-count,person,8,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R38C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,"09 Fraud, deception and related offences"
2021-06-30,ACT,ANZSOC_091,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R39C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,091 Obtain benefit by deception
2021-06-30,ACT,ANZSOC_092,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R40C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,092 Forgery and counterfeiting
2021-06-30,ACT,ANZSOC_10,prisoner-count,person,11,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R42C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,10 Illicit drug offences
2021-06-30,ACT,ANZSOC_101,prisoner-count,person,0,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R43C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,101 Import or export illicit drugs
2021-06-30,ACT,ANZSOC_102,prisoner-count,person,4,observed,sha256:cd7b352a428bd55a23baf991620b9473fd6693a904ff4226e2eb6c68e7e747bd,Table_31,R44C9,sha256:4cf6a915fd7bdfdd0b7fe825868e608fccae619393175002f4818a942f9ff1a9,prisoners-in-australia,sha256:cfe65ebd564115dfa67f88211cd4db3366e77dd907cb19ce7f09bc0bff9446ef,tidy.table-family-acceptance/v1,sha256:9e75d8bc10d87f8d3ab16e3db982cb13c2f6aaa47da2ac96b580b30a654998d6,sha256:5e43553eb31d43d3a0160ff24ed477c4e3d38bf6098095160e807ce771a96c97,sha256:3cecea63434acda61d5570c03b53a769d13b3f4bfd9b3b9eb0c2bd3150e3198b,openai-codex/gpt-5.6-sol,replay:sha256:8d59a9bcfbac19d340bd330f85118af760f059b1f1ca0f7ad9a29bc5b83c116f,ACT,102 Deal or traffic in illicit drugs
