reference_date,jurisdiction_id,indigenous_status_id,sex_id,legal_status_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,raw_jurisdiction,raw_indigenous_status,raw_sex,raw_legal_status
2023-06-30,AUS,INDIGENOUS,PERSONS,SENTENCED,prisoner-count,person,8155,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R16C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Sentenced
2023-06-30,AUS,INDIGENOUS,PERSONS,TOTAL,prisoner-count,person,13852,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R18C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Total
2023-06-30,AUS,INDIGENOUS,PERSONS,UNSENTENCED,prisoner-count,person,5663,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R17C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Unsentenced
2023-06-30,AUS,NON_INDIGENOUS,FEMALE,SENTENCED,prisoner-count,person,1096,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R25C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Females,Sentenced
2023-06-30,AUS,NON_INDIGENOUS,FEMALE,TOTAL,prisoner-count,person,1855,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R27C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Females,Total
2023-06-30,AUS,NON_INDIGENOUS,FEMALE,UNSENTENCED,prisoner-count,person,762,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R26C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Females,Unsentenced
2023-06-30,AUS,NON_INDIGENOUS,MALE,SENTENCED,prisoner-count,person,16579,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R21C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Males,Sentenced
2023-06-30,AUS,NON_INDIGENOUS,MALE,TOTAL,prisoner-count,person,26090,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R23C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Males,Total
2023-06-30,AUS,NON_INDIGENOUS,MALE,UNSENTENCED,prisoner-count,person,9457,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R22C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Males,Unsentenced
2023-06-30,AUS,NON_INDIGENOUS,PERSONS,SENTENCED,prisoner-count,person,17674,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R29C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Persons,Sentenced
2023-06-30,AUS,NON_INDIGENOUS,PERSONS,TOTAL,prisoner-count,person,27942,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R31C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Persons,Total
2023-06-30,AUS,NON_INDIGENOUS,PERSONS,UNSENTENCED,prisoner-count,person,10213,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R30C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,NON-INDIGENOUS,Persons,Unsentenced
2023-06-30,AUS,TOTAL,FEMALE,SENTENCED,prisoner-count,person,1778,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R38C10,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,Aust.,TOTAL,Females,Sentenced
