reference_date,country_of_birth_id,jurisdiction_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_country_of_birth,raw_jurisdiction
2021-06-30,IRAN_a8c32a4d,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,14,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R15C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Iran,NEW SOUTH WALES
2021-06-30,IRAQ_349b8f5b,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,9,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R19C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Iraq,NEW SOUTH WALES
2021-06-30,LEBANON_7274b6e3,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,22,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R11C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Lebanon,NEW SOUTH WALES
2021-06-30,LEBANON_7274b6e3,VICTORIA_8abba993,published-value,published-unit,5,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R35C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Lebanon,VICTORIA
2021-06-30,MALAYSIA_0fee48a6,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,7,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R22C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Malaysia,NEW SOUTH WALES
2021-06-30,MALAYSIA_0fee48a6,VICTORIA_8abba993,published-value,published-unit,27,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R29C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Malaysia,VICTORIA
2021-06-30,MALAYSIA_0fee48a6,WESTERN_AUSTRALIA_74f6e5af,published-value,published-unit,11,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R49C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Malaysia,WESTERN AUSTRALIA
2021-06-30,MEXICO_07e7f51c,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,7,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R23C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,Mexico,NEW SOUTH WALES
2021-06-30,NEW_ZEALAND_c2270854,NEW_SOUTH_WALES_92f089b8,published-value,published-unit,13,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R16C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,New Zealand,NEW SOUTH WALES
2021-06-30,NEW_ZEALAND_c2270854,QUEENSLAND_8f0791ed,published-value,published-unit,6,observed,sha256:93258fdf5a2a5180c724ee5ae3d977bc456acb665895f444f16cd3521e7af4cb,Table_37,R41C2,sha256:56b10c9f7947f9ebf50aefe2074d7714ea1adeea230a2cc7b759fe33de100a80,prisoners-in-australia,sha256:85fe2f861e66ece7b220118d8a43ad89267822c9d43cd9bde060fafd28019bb0,tidy.table-family-acceptance/v2,sha256:24cb5d04ce6d1ff197094894b6a1c63bdb947fb43db3bed4b72fb9163b98145b,sha256:4c8f94b4d3b5738c1402971002b9abf4da34c9768675d5d0dad41b114bd285cc,sha256:f97d14477843e303c1052608fbe19455fd42d8cef075b510c61de3779b46c57d,human-authored/deterministic-geometry-v1,replay:sha256:eae23cf9fd1621bca2b2978c4852c5c5492525868799981114ee88355e9bcd83,New Zealand,QUEENSLAND
