row,col,address,.value,measure_type,quarter,state,corrections_population
42,6,R42C6,4652,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Males in community-based corrections
42,7,R42C7,1566,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Males in community-based corrections
42,8,R42C8,1049,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Males in community-based corrections
42,9,R42C9,840,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Males in community-based corrections
42,10,R42C10,62885,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Males in community-based corrections
43,2,R43C2,29340,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Males in community-based corrections
43,3,R43C3,7176,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Males in community-based corrections
43,4,R43C4,13780,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Males in community-based corrections
43,5,R43C5,4190,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Males in community-based corrections
43,6,R43C6,4578,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Males in community-based corrections
43,7,R43C7,1562,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Males in community-based corrections
43,8,R43C8,1052,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Males in community-based corrections
43,9,R43C9,858,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Males in community-based corrections
43,10,R43C10,62535,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Males in community-based corrections
45,2,R45C2,6316,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Females in community-based corrections
45,3,R45C3,2058,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Females in community-based corrections
45,4,R45C4,4861,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Females in community-based corrections
45,5,R45C5,943,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Females in community-based corrections
45,6,R45C6,1304,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Females in community-based corrections
45,7,R45C7,458,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Females in community-based corrections
45,8,R45C8,225,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Females in community-based corrections
45,9,R45C9,258,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Females in community-based corrections
45,10,R45C10,16423,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Females in community-based corrections
46,2,R46C2,6252,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Females in community-based corrections
46,3,R46C3,1246,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Females in community-based corrections
46,4,R46C4,4361,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Females in community-based corrections
46,5,R46C5,995,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Females in community-based corrections
46,6,R46C6,1309,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Females in community-based corrections
46,7,R46C7,418,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Females in community-based corrections
46,8,R46C8,209,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Females in community-based corrections
46,9,R46C9,210,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Females in community-based corrections
46,10,R46C10,15001,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Females in community-based corrections
47,2,R47C2,6257,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Females in community-based corrections
47,3,R47C3,1172,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Females in community-based corrections
47,4,R47C4,4399,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Females in community-based corrections
47,5,R47C5,1013,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Females in community-based corrections
47,6,R47C6,1308,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Females in community-based corrections
47,7,R47C7,399,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Females in community-based corrections
47,8,R47C8,205,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Females in community-based corrections
47,9,R47C9,201,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Females in community-based corrections
47,10,R47C10,14954,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Females in community-based corrections
49,2,R49C2,35261,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NSW,Persons in community-based corrections
49,3,R49C3,12345,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Vic.,Persons in community-based corrections
49,4,R49C4,20289,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Qld,Persons in community-based corrections
49,5,R49C5,5143,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,SA,Persons in community-based corrections
49,6,R49C6,5813,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,WA,Persons in community-based corrections
49,7,R49C7,2054,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Tas.,Persons in community-based corrections
49,8,R49C8,1255,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,NT,Persons in community-based corrections
49,9,R49C9,1217,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,ACT,Persons in community-based corrections
49,10,R49C10,83377,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 20,Aust.,Persons in community-based corrections
50,2,R50C2,35607,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NSW,Persons in community-based corrections
50,3,R50C3,8747,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Vic.,Persons in community-based corrections
50,4,R50C4,18077,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Qld,Persons in community-based corrections
50,5,R50C5,5230,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,SA,Persons in community-based corrections
50,6,R50C6,5966,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,WA,Persons in community-based corrections
50,7,R50C7,1984,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Tas.,Persons in community-based corrections
50,8,R50C8,1258,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,NT,Persons in community-based corrections
50,9,R50C9,1050,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,ACT,Persons in community-based corrections
50,10,R50C10,77919,AVERAGE NUMBER ON FIRST DAY OF MONTH,Dec Qtr 20,Aust.,Persons in community-based corrections
51,2,R51C2,35631,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NSW,Persons in community-based corrections
51,3,R51C3,8349,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Vic.,Persons in community-based corrections
51,4,R51C4,18178,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Qld,Persons in community-based corrections
51,5,R51C5,5202,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,SA,Persons in community-based corrections
51,6,R51C6,5890,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,WA,Persons in community-based corrections
51,7,R51C7,1961,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Tas.,Persons in community-based corrections
51,8,R51C8,1258,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,NT,Persons in community-based corrections
51,9,R51C9,1059,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,ACT,Persons in community-based corrections
51,10,R51C10,77529,AVERAGE NUMBER ON FIRST DAY OF MONTH,Mar Qtr 21,Aust.,Persons in community-based corrections
