row,col,address,.value,sex,sex_source,legal_status,legal_status_source,summary_label,summary_label_source,indigenous_status,indigenous_status_source,state,state_source
13,7,R13C7,5,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
13,8,R13C8,59,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
13,9,R13C9,3,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
13,10,R13C10,542,Females,R11C1,Unsentenced ,R13C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
14,2,R14C2,312,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
14,3,R14C3,46,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
14,4,R14C4,377,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Qld,R5C4
14,5,R14C5,88,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,SA,R5C5
14,6,R14C6,302,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,WA,R5C6
14,7,R14C7,21,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Tas.,R5C7
14,8,R14C8,107,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NT,R5C8
14,9,R14C9,10,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,ACT,R5C9
14,10,R14C10,1260,Females,R11C1,Total,R14C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Aust.,R5C10
16,2,R16C2,2298,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,NSW,R5C2
16,3,R16C3,386,Persons ,R15C1,Sentenced ,R16C1,"Indigenous status, sex and legal status",R5C1,ABORIGINAL AND TORRES STRAIT ISLANDER,R6C1,Vic.,R5C3
