row,col,address,.value,drug_use_context,drug_use_context_source,treatment_type,treatment_type_source,financial_year,financial_year_source
29,11,R29C11,16873,Total,R22C3,Other,R29C4,2020–21,R3C11
29,12,R29C12,18527,Total,R22C3,Other,R29C4,2021–22,R3C12
29,13,R29C13,20490,Total,R22C3,Other,R29C4,2022–23,R3C13
29,14,R29C14,22760,Total,R22C3,Other,R29C4,2023–24,R3C14
30,5,R30C5,170367,Total,R22C3,Total,R30C4,2014–15,R3C5
30,6,R30C6,206395,Total,R22C3,Total,R30C4,2015–16,R3C6
30,7,R30C7,200751,Total,R22C3,Total,R30C4,2016–17,R3C7
30,8,R30C8,208935,Total,R22C3,Total,R30C4,2017–18,R3C8
30,9,R30C9,219933,Total,R22C3,Total,R30C4,2018–19,R3C9
30,10,R30C10,237545,Total,R22C3,Total,R30C4,2019–20,R3C10
30,11,R30C11,242980,Total,R22C3,Total,R30C4,2020–21,R3C11
30,12,R30C12,228451,Total,R22C3,Total,R30C4,2021–22,R3C12
30,13,R30C13,235461,Total,R22C3,Total,R30C4,2022–23,R3C13
30,14,R30C14,240958,Total,R22C3,Total,R30C4,2023–24,R3C14
