row,col,address,.value,sex,sex_source,indigenous_status,indigenous_status_source,rate_type,rate_type_source,state,state_source
27,8,R27C8,351.8,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
27,9,R27C9,n.p.,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
27,10,R27C10,386.1,Females,R26C1,Aboriginal and Torres Strait Islander,R27C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
28,2,R28C2,17.7,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
28,3,R28C3,12.3,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
28,4,R28C4,27.3,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
28,5,R28C5,22.3,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,SA,R5C5
28,6,R28C6,33.5,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,WA,R5C6
28,7,R28C7,17.4,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,Tas.,R5C7
28,8,R28C8,n.p.,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,NT,R5C8
28,9,R28C9,n.p.,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,ACT,R5C9
28,10,R28C10,20,Females,R26C1,Non-Indigenous,R28C1,AGE STANDARDISED RATE ,R21C1,Aust.,R5C10
31,2,R31C2,1878.3,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,NSW,R5C2
31,3,R31C3,1605.1,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,Vic.,R5C3
31,4,R31C4,2046.9,Persons,R30C1,Aboriginal and Torres Strait Islander,R31C1,AGE STANDARDISED RATE ,R21C1,Qld,R5C4
