row,col,address,.value,summary_label,summary_label_source,financial_year,financial_year_source,sentence_type,sentence_type_source,defendant_dimensions,defendant_dimensions_source
24,4,R24C4,1550,Summary characteristics,R5C1,2012–13,R5C4,Guilty outcome,R24C1,Method of finalisation,R21C1
24,5,R24C5,1808,Summary characteristics,R5C1,2013–14,R5C5,Guilty outcome,R24C1,Method of finalisation,R21C1
24,6,R24C6,2097,Summary characteristics,R5C1,2014–15,R5C6,Guilty outcome,R24C1,Method of finalisation,R21C1
24,7,R24C7,2490,Summary characteristics,R5C1,2015–16,R5C7,Guilty outcome,R24C1,Method of finalisation,R21C1
24,8,R24C8,2670,Summary characteristics,R5C1,2016–17,R5C8,Guilty outcome,R24C1,Method of finalisation,R21C1
24,9,R24C9,2748,Summary characteristics,R5C1,2017–18,R5C9,Guilty outcome,R24C1,Method of finalisation,R21C1
24,10,R24C10,2712,Summary characteristics,R5C1,2018–19,R5C10,Guilty outcome,R24C1,Method of finalisation,R21C1
24,11,R24C11,2391,Summary characteristics,R5C1,2019–20,R5C11,Guilty outcome,R24C1,Method of finalisation,R21C1
24,12,R24C12,2766,Summary characteristics,R5C1,2020–21,R5C12,Guilty outcome,R24C1,Method of finalisation,R21C1
24,13,R24C13,3102,Summary characteristics,R5C1,2021–22,R5C13,Guilty outcome,R24C1,Method of finalisation,R21C1
24,14,R24C14,3772,Summary characteristics,R5C1,2022–23,R5C14,Guilty outcome,R24C1,Method of finalisation,R21C1
25,2,R25C2,97,Summary characteristics,R5C1,2010–11,R5C2,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,3,R25C3,102,Summary characteristics,R5C1,2011–12,R5C3,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,4,R25C4,99,Summary characteristics,R5C1,2012–13,R5C4,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,5,R25C5,131,Summary characteristics,R5C1,2013–14,R5C5,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,6,R25C6,159,Summary characteristics,R5C1,2014–15,R5C6,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,7,R25C7,151,Summary characteristics,R5C1,2015–16,R5C7,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,8,R25C8,152,Summary characteristics,R5C1,2016–17,R5C8,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,9,R25C9,187,Summary characteristics,R5C1,2017–18,R5C9,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,10,R25C10,177,Summary characteristics,R5C1,2018–19,R5C10,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,11,R25C11,148,Summary characteristics,R5C1,2019–20,R5C11,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,12,R25C12,140,Summary characteristics,R5C1,2020–21,R5C12,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,13,R25C13,133,Summary characteristics,R5C1,2021–22,R5C13,Guilty finding by the court,R25C1,Method of finalisation,R21C1
25,14,R25C14,175,Summary characteristics,R5C1,2022–23,R5C14,Guilty finding by the court,R25C1,Method of finalisation,R21C1
26,2,R26C2,1051,Summary characteristics,R5C1,2010–11,R5C2,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,3,R26C3,1171,Summary characteristics,R5C1,2011–12,R5C3,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,4,R26C4,1408,Summary characteristics,R5C1,2012–13,R5C4,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,5,R26C5,1626,Summary characteristics,R5C1,2013–14,R5C5,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,6,R26C6,1870,Summary characteristics,R5C1,2014–15,R5C6,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,7,R26C7,2285,Summary characteristics,R5C1,2015–16,R5C7,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,8,R26C8,2460,Summary characteristics,R5C1,2016–17,R5C8,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,9,R26C9,2514,Summary characteristics,R5C1,2017–18,R5C9,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,10,R26C10,2484,Summary characteristics,R5C1,2018–19,R5C10,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,11,R26C11,2198,Summary characteristics,R5C1,2019–20,R5C11,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,12,R26C12,2554,Summary characteristics,R5C1,2020–21,R5C12,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,13,R26C13,2889,Summary characteristics,R5C1,2021–22,R5C13,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
26,14,R26C14,3512,Summary characteristics,R5C1,2022–23,R5C14,Guilty plea by defendant,R26C1,Method of finalisation,R21C1
27,2,R27C2,35,Summary characteristics,R5C1,2010–11,R5C2,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,3,R27C3,37,Summary characteristics,R5C1,2011–12,R5C3,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,4,R27C4,46,Summary characteristics,R5C1,2012–13,R5C4,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,5,R27C5,37,Summary characteristics,R5C1,2013–14,R5C5,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,6,R27C6,63,Summary characteristics,R5C1,2014–15,R5C6,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,7,R27C7,52,Summary characteristics,R5C1,2015–16,R5C7,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,8,R27C8,52,Summary characteristics,R5C1,2016–17,R5C8,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,9,R27C9,43,Summary characteristics,R5C1,2017–18,R5C9,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,10,R27C10,55,Summary characteristics,R5C1,2018–19,R5C10,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,11,R27C11,39,Summary characteristics,R5C1,2019–20,R5C11,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,12,R27C12,70,Summary characteristics,R5C1,2020–21,R5C12,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,13,R27C13,73,Summary characteristics,R5C1,2021–22,R5C13,Guilty ex-parte,R27C1,Method of finalisation,R21C1
27,14,R27C14,72,Summary characteristics,R5C1,2022–23,R5C14,Guilty ex-parte,R27C1,Method of finalisation,R21C1
28,2,R28C2,27,Summary characteristics,R5C1,2010–11,R5C2,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,3,R28C3,33,Summary characteristics,R5C1,2011–12,R5C3,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,4,R28C4,33,Summary characteristics,R5C1,2012–13,R5C4,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,5,R28C5,35,Summary characteristics,R5C1,2013–14,R5C5,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,6,R28C6,36,Summary characteristics,R5C1,2014–15,R5C6,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,7,R28C7,43,Summary characteristics,R5C1,2015–16,R5C7,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,8,R28C8,57,Summary characteristics,R5C1,2016–17,R5C8,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,9,R28C9,72,Summary characteristics,R5C1,2017–18,R5C9,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,10,R28C10,64,Summary characteristics,R5C1,2018–19,R5C10,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,11,R28C11,46,Summary characteristics,R5C1,2019–20,R5C11,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,12,R28C12,52,Summary characteristics,R5C1,2020–21,R5C12,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,13,R28C13,70,Summary characteristics,R5C1,2021–22,R5C13,Transfer to other court levels,R28C1,Method of finalisation,R21C1
28,14,R28C14,61,Summary characteristics,R5C1,2022–23,R5C14,Transfer to other court levels,R28C1,Method of finalisation,R21C1
29,2,R29C2,387,Summary characteristics,R5C1,2010–11,R5C2,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,3,R29C3,429,Summary characteristics,R5C1,2011–12,R5C3,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,4,R29C4,598,Summary characteristics,R5C1,2012–13,R5C4,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,5,R29C5,685,Summary characteristics,R5C1,2013–14,R5C5,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,6,R29C6,795,Summary characteristics,R5C1,2014–15,R5C6,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,7,R29C7,861,Summary characteristics,R5C1,2015–16,R5C7,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,8,R29C8,1057,Summary characteristics,R5C1,2016–17,R5C8,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,9,R29C9,1062,Summary characteristics,R5C1,2017–18,R5C9,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,10,R29C10,976,Summary characteristics,R5C1,2018–19,R5C10,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,11,R29C11,888,Summary characteristics,R5C1,2019–20,R5C11,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,12,R29C12,913,Summary characteristics,R5C1,2020–21,R5C12,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,13,R29C13,1215,Summary characteristics,R5C1,2021–22,R5C13,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
29,14,R29C14,1303,Summary characteristics,R5C1,2022–23,R5C14,Withdrawn by prosecution,R29C1,Method of finalisation,R21C1
32,2,R32C2,16.8,Summary characteristics,R5C1,2010–11,R5C2,Mean (weeks),R32C1,Duration,R31C1
32,3,R32C3,17.6,Summary characteristics,R5C1,2011–12,R5C3,Mean (weeks),R32C1,Duration,R31C1
32,4,R32C4,17.3,Summary characteristics,R5C1,2012–13,R5C4,Mean (weeks),R32C1,Duration,R31C1
32,5,R32C5,15.7,Summary characteristics,R5C1,2013–14,R5C5,Mean (weeks),R32C1,Duration,R31C1
32,6,R32C6,16,Summary characteristics,R5C1,2014–15,R5C6,Mean (weeks),R32C1,Duration,R31C1
32,7,R32C7,16.2,Summary characteristics,R5C1,2015–16,R5C7,Mean (weeks),R32C1,Duration,R31C1
32,8,R32C8,16.6,Summary characteristics,R5C1,2016–17,R5C8,Mean (weeks),R32C1,Duration,R31C1
32,9,R32C9,16.9,Summary characteristics,R5C1,2017–18,R5C9,Mean (weeks),R32C1,Duration,R31C1
32,10,R32C10,17.8,Summary characteristics,R5C1,2018–19,R5C10,Mean (weeks),R32C1,Duration,R31C1
32,11,R32C11,18.5,Summary characteristics,R5C1,2019–20,R5C11,Mean (weeks),R32C1,Duration,R31C1
32,12,R32C12,22.8,Summary characteristics,R5C1,2020–21,R5C12,Mean (weeks),R32C1,Duration,R31C1
32,13,R32C13,25.7,Summary characteristics,R5C1,2021–22,R5C13,Mean (weeks),R32C1,Duration,R31C1
32,14,R32C14,24.9,Summary characteristics,R5C1,2022–23,R5C14,Mean (weeks),R32C1,Duration,R31C1
33,2,R33C2,10.5,Summary characteristics,R5C1,2010–11,R5C2,Median (weeks),R33C1,Duration,R31C1
33,3,R33C3,11.1,Summary characteristics,R5C1,2011–12,R5C3,Median (weeks),R33C1,Duration,R31C1
33,4,R33C4,10,Summary characteristics,R5C1,2012–13,R5C4,Median (weeks),R33C1,Duration,R31C1
33,5,R33C5,9.7,Summary characteristics,R5C1,2013–14,R5C5,Median (weeks),R33C1,Duration,R31C1
33,6,R33C6,10.4,Summary characteristics,R5C1,2014–15,R5C6,Median (weeks),R33C1,Duration,R31C1
33,7,R33C7,9.6,Summary characteristics,R5C1,2015–16,R5C7,Median (weeks),R33C1,Duration,R31C1
33,8,R33C8,10.4,Summary characteristics,R5C1,2016–17,R5C8,Median (weeks),R33C1,Duration,R31C1
33,9,R33C9,10.9,Summary characteristics,R5C1,2017–18,R5C9,Median (weeks),R33C1,Duration,R31C1
33,10,R33C10,10.7,Summary characteristics,R5C1,2018–19,R5C10,Median (weeks),R33C1,Duration,R31C1
33,11,R33C11,11.3,Summary characteristics,R5C1,2019–20,R5C11,Median (weeks),R33C1,Duration,R31C1
33,12,R33C12,13.4,Summary characteristics,R5C1,2020–21,R5C12,Median (weeks),R33C1,Duration,R31C1
33,13,R33C13,14.2,Summary characteristics,R5C1,2021–22,R5C13,Median (weeks),R33C1,Duration,R31C1
33,14,R33C14,13.6,Summary characteristics,R5C1,2022–23,R5C14,Median (weeks),R33C1,Duration,R31C1
34,2,R34C2,1743,Summary characteristics,R5C1,2010–11,R5C2,Total finalised,R34C1,Duration,R31C1
