reference_date,sex_id,age_group_id,statistic_basis_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,publication_id,execution_digest,acceptance_policy_version,acceptance_policy_digest,acceptance_decision_digest,prompt_package_digest,generation_model,generation_attempt_id,raw_sex,raw_age_group,raw_statistic_basis
2021-06-30,FEMALE,AGE_45_49,PROPORTION,prisoner-proportion,percent,8.8,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R14C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,45–49 years,%
2021-06-30,FEMALE,AGE_45_49,RATE,imprisonment-rate,persons-per-100000-adult-population,34.6,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R14C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,45–49 years,Imprisonment rate
2021-06-30,FEMALE,AGE_50_54,NUMBER,prisoner-count,person,164,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R15C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,50–54 years,no.
2021-06-30,FEMALE,AGE_50_54,PROPORTION,prisoner-proportion,percent,5,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R15C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,50–54 years,%
2021-06-30,FEMALE,AGE_50_54,RATE,imprisonment-rate,persons-per-100000-adult-population,20.1,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R15C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,50–54 years,Imprisonment rate
2021-06-30,FEMALE,AGE_55_59,NUMBER,prisoner-count,person,79,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R16C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,55–59 years,no.
2021-06-30,FEMALE,AGE_55_59,PROPORTION,prisoner-proportion,percent,2.4,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R16C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,55–59 years,%
2021-06-30,FEMALE,AGE_55_59,RATE,imprisonment-rate,persons-per-100000-adult-population,10,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R16C7,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,55–59 years,Imprisonment rate
2021-06-30,FEMALE,AGE_60_64,NUMBER,prisoner-count,person,40,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R17C5,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,60–64 years,no.
2021-06-30,FEMALE,AGE_60_64,PROPORTION,prisoner-proportion,percent,1.2,observed,sha256:264b018d9ab5584ebc44774cf349283c072b0eb1304a0b865dadffe40d5d2d7a,Table_4,R17C6,sha256:a4ed5e27e729e06de90147afae6b681e04403fddb34d5f45d562467e47d5d324,prisoners-in-australia,sha256:b2b2be883a0b4b47f62409ae4d93454ba15c528c22fd8aede6c18b0735a5c830,tidy.table-family-acceptance/v1,sha256:1b293c89ad3e0c39f0179d05895d42663270b80c7235cff2ba33280e94257d29,sha256:b2c096cac5dc301af278104ce1c8214caefecfa28f2296c882dae84f20303d81,sha256:109259366160c64698a44c5b70fac950083327a3d724f3aa8280f322758123a1,human-authored/deterministic-geometry-v1,replay:sha256:876aab2dcb65ed81b25f508234c3f207a75822cf66944cfd756568965465298c,Females,60–64 years,%
